"title","description"
"T-101 · Bootstrap monorepo workspace and import reference branch","Create the new repo, Cargo workspace plus `ui/` skeleton per ARCHITECTURE §3, and import the POC history as `reference/v1`. AC: workspace builds empty crates; reference branch present and documented as read-only.

deps: none

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-102 · CI test gate on every PR","fmt, clippy, cargo test, vitest, tsc, on macOS runner; also creates the `make test` and `make bench` targets the engineering skill's verification commands assume. AC: a failing test blocks merge; runtime under 15 minutes (the real-model eval lane is separate, T-513).

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-103 · Local-only egress lint in CI","cargo-deny plus workspace lint banning HTTP client crates outside downloader/updater (ADR-004). AC: adding reqwest to fndr-store fails CI; allowlist constants module has its uniqueness test.

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-104 · Engine-independent-of-Tauri CI check","AC: any engine crate importing tauri fails CI.

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-105 · Generated TS bindings pipeline","specta/tauri-specta from fndr-types; hand-written IPC interfaces banned by lint. AC: a sample command's types round-trip into `ui/` at build time.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-106 · Repo engineering skill and CONTRIBUTING","Install the v2 engineering skill (.claude/skills/fndr-v2-engineering) into the new repo; document port-provenance, module-size, and session-handoff conventions (who did what, where it stands, next steps, which agent/tool produced it), plus the incidents-and-reversals log (the failure-narrative artifact interviews run on). AC: skill loads in Claude Code; CONTRIBUTING covers the conventions including the handoff format and incidents log.

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-107 · Cross-tool agent conventions mirror","Generate AGENTS.md (read by Cursor, Codex, and other agent tools) from the fndr-v2-engineering skill so every AI tool follows one conventions source; CI drift check between the two. AC: skill and AGENTS.md agree by construction; reuse-first and port-provenance rules present in both.

deps: T-106

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-108 · Environment bootstrap and dev-install on four machines","Per-builder setup (Rust toolchain, TCC grants for dev builds, model pulls) scripted and documented; dev-install path verified on all four machines; the bench reference machine (M1 8 GB) designated with an owner. AC: a new checkout reaches a running dev build on each machine following only the doc; dogfooding (T-512) is unblocked.

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-109 · Walking skeleton: thin end-to-end slice","By week 3, deliberately ugly: capture one screen, OCR it, store it, search it, and serve one MCP tool over it. De-risks the M1 spikes in one artifact and gives the earliest honest signal on context usefulness (v1 pain point 1). AC: the slice runs end to end on one machine; findings recorded as tickets or ADR amendments.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E01""
/milestone %""M1-Foundations"""
"T-201 · SQLite schema v1 and migrations","Split memory domains, chunks, graph, tasks, meetings, queues, settings per ARCHITECTURE §5. AC: migration tests; FK integrity on graph edges; lifecycle enums persisted as discriminants.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-202 · Lance writer with batched flush","Single writer module; 30 to 60 s or batch-size flush from SQLite; nothing else writes Lance. AC: flush failure leaves SQLite intact and retries; write-path test.

deps: T-201

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-203 · Vector, FTS, and scalar indexes","Create and maintain indexes on the chunk/record tables; incremental optimize. AC: query plans hit indexes (no full scan) in a 100k-row fixture; point lookups use the scalar index.

deps: T-202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-204 · Compaction and version-prune scheduler","AC: a 24 h simulated write load keeps version count and small-fragment count bounded; disk returns after prune.

deps: T-202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-205 · Index rebuild command and crash-recovery test","`fndr index rebuild` from SQLite truth. AC: kill during flush, truth intact, rebuild converges byte-equal on retrieval results.

deps: T-202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-206 · Deletion everywhere","Delete by record, time range, domain, or all, across both stores and indexes (PRD P0.9). AC: post-delete search, evidence, and graph return nothing; test fixture.

deps: T-201, T-202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-207 · Retention jobs","Configurable retention windows executing through the deletion path (promoted to p0: the G3 storage budget depends on it). AC: expiry test with clock control.

deps: T-206

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-208 · Spike: Lance FTS, prefilters, and hybrid from Rust","Time-boxed one week: prove BM25 FTS, metadata prefilters, RRF hybrid, and index maintenance from the Rust crate on a 100k-row fixture before T-203/T-505 assumptions harden. AC: findings note with measured behavior; go/no-go on the ADR-002 index design.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M1-Foundations"""
"T-209 · Backup, export, and restore","`fndr backup` / `fndr export` / restore: SQLite snapshot plus config (Lance rebuilds from truth, which is the other half of the story); makes ""the memory stays mine"" literal and avoids the live-WAL-in-Time-Machine corruption trap. AC: backup taken under active capture restores to a working vault; export documented.

deps: T-201, T-206

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E02""
/milestone %""M3-AgentContext"""
"T-301 · Port fndr-textsignal crate","v1 text_cleanup in full (line scoring, span salience, CUE_WORDS, noise). AC: v1 tests ported and green; provenance notes.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-302 · ScreenCaptureKit capture provider","Replace v1's deprecated CGDisplay path; permissions health check with re-grant guidance. AC: frames on macOS 14+; revoked-permission state visible, not silent.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-303 · Perceptual and semantic dedup","Downscale-before-hash dHash, A-B-A loop detection, semantic window; maintained hashing dependency. AC: v1 heuristic behavior preserved under test; no full-res PNG decode on the hot path.

deps: T-302

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-304 · Port admission policy","Navigation/listing surface skips, url-only records. AC: v1 segment-list cases green.

deps: T-301

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-305 · Port OCR wrapper","Vision via objc2; async boundary; LOW_CONF convention; min_confidence actually wired. AC: v1 observed-value tests green; no sync call on the async runtime.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-306 · Staged capture pipeline and SkipReason counters","The ARCHITECTURE §4.1 scheduler with per-stage seams; one terminal counter per tick; durable batch on shutdown. AC: each stage testable without the loop; shutdown loses zero records.

deps: T-302, T-303, T-304, T-305

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-307 · Port session identity and merge/continuity","Anchors, candidate scoring, merge thresholds, story merge. AC: v1 merge tests green; cross-app window rules covered.

deps: T-306

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-308 · Adaptive sampling","Idle-blend FPS, deep-idle pause, forced interval. AC: simulated idle timeline produces expected FPS curve.

deps: T-306

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-309 · Declarative gate policy and replay harness","Capture gates as a config-driven policy table; offline replay over recorded fixtures (the v1 stacked-gates regression is the named test). AC: gate changes show per-gate drop deltas in the replay report.

deps: T-306

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-310 · Spike and soak: ScreenCaptureKit provider hardening","Pin the screencapturekit crate exactly; multi-day soak with an RSS trend assertion (the crate's issue history is leaks and stalled callbacks); decide periodic SCScreenshotManager captures vs a persistent SCStream for 0.5 FPS; record the fallback (objc2-screen-capture-kit or vendoring, as both shipped comparables did); document the macOS 26.1 dev-build bundle/TCC quirk. AC: soak passes or the fallback is adopted; decision note committed (ADR-001 amendment).

deps: T-302

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E03""
/milestone %""M1-Foundations"""
"T-311 · Backfill importers (browser history, git log, shell history)","Deterministic, local, no new privacy surface: seed the vault on first run so the first real context pack works in minutes instead of after a day of capture (cold-start fix). AC: a fresh install plus importers yields a context pack that answers project questions; importers respect the blocklist.

deps: T-201

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E03""
/milestone %""M3-AgentContext"""
"T-401 · Model registry and downloader crate","Pinned revisions, SHA-256, required/optional flags, resume, disk preflight (v1 ADR-012 semantics). Downloads flow through the platform-owned fndr-downloader crate. AC: checksum mismatch deletes artifact and fails loudly; HTTP confined to fndr-downloader/fndr-updater per ADR-004.

deps: T-101, T-103

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E04""
/milestone %""M1-Foundations"""
"T-402 · Embedding contract v1","Qwen3-Embedding-0.6B official Q8_0 GGUF (639 MB; no official Q4 exists, avoid community sub-8-bit quants), instruction asymmetry in the contract struct, and the 768d matryoshka rule implemented app-side: take the 1024d output, truncate to 768, L2-renormalize, all inside the contract with tests. Construction probe (dimension, non-zero). AC: prefix asymmetry test; truncate+renormalize round-trip test; wrong-dimension write refused end to end.

deps: T-401

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E04""
/milestone %""M1-Foundations"""
"T-403 · Model-worker priority queue","All llama.cpp work behind one queue (interactive > synthesis > review > backfill); load/unload with idle timers. AC: contention test proves priority; no LLM call outside the queue (lint or review rule).

deps: T-401

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E04""
/milestone %""M1-Foundations"""
"T-404 · Embedding batch path","AC: throughput benchmark recorded; capture-burst memoization.

deps: T-402, T-403

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E04""
/milestone %""M1-Foundations"""
"T-405 · VLM synthesis path","Qwen3-VL-4B with 2B tier on 8 GB; idle unload. AC: synthesis runs pressure-gated; RAM budget respected in probe.

deps: T-403

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E04""
/milestone %""M2-Retrieval"""
"T-406 · Reranker integration behind eval gate","Qwen3-Reranker-0.6B via the ggml-org GGUF conversion (no official Qwen GGUF exists; community conversions missing cls.output.weight are broken), SHA-256 pinned; never served from the same llama.cpp context as embeddings (upstream all-zero-output defect). AC: rerank endpoint scores sanity fixture; integrated behind a flag; the promotion decision itself is T-509's deliverable.

deps: T-403, T-508

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E04""
/milestone %""M2-Retrieval"""
"T-407 · Onboarding model provisioning","Required-model step with progress, resume, and the no-zero-vector capture block (PRD P0.2). AC: missing embedder blocks capture visibly; install-from-URL to first captured memory with real embeddings under 15 minutes on a 50 Mbps connection (PRD P0.10), timed on the clean-VM checklist.

deps: T-401, T-1001

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E04""
/milestone %""M2-Retrieval"""
"T-408 · Spike: Qwen3-VL through llama-cpp-2 mtmd","Time-boxed one week: Qwen3-VL-2B through the published crate's experimental mtmd feature (image plus prompt to grounded JSON), building prompts via mtmd markers, not the chat-template helper (known-broken upstream). AC: go/no-go note for the F2 VLM synthesis design; failure degrades to deterministic-only synthesis, by design.

deps: T-401

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E04""
/milestone %""M1-Foundations"""
"T-409 · Re-embedding migration design note","One page: what happens when the pinned embedder is superseded (the dimension guard must not brick capture); uses the model-worker backfill priority class as the queue; states cost and UX on 8 GB. AC: reviewed note in docs; answers the ""what happens when the embedding model updates"" question.

deps: T-402

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E04""
/milestone %""M3-AgentContext"""
"T-501 · Eval corpus v0","Synthetic capture fixtures covering the hard-case taxonomy (exact identifiers, paraphrase, time-scoped, app-scoped, cross-session) plus labelled (query, expected-record) pairs; sanitized donation protocol for real sessions; a frozen held-out test split that CI and tuning never touch (published numbers come from it). AC: 150+ labelled pairs; corpus loader; held-out split frozen and documented.

deps: none

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M1-Foundations"""
"T-502 · Bench harness and resource probes","`make bench`: Recall@5, MRR@10, latency p50/p95, RSS, storage, capture CPU %, and context-pack p95; real models only (mock cannot satisfy). All latency and resource numbers come exclusively from the reference machine, never CI. AC: one command produces the metrics file on the reference machine, covering every G3/P0.8 number.

deps: T-501

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M1-Foundations"""
